ID,タイトル,詳細,重要度,カテゴリ
1,スクロールがカクつく,トップページに遷移する際、3秒以上かかる場合があります。,低,パフォーマンス
2,パスワードリセットメールが届かない,正しいIDとパスワードを入力してもログインに失敗します。,高,認証
3,データが消失する,ユーザーが設定を変更しても、再起動後に元に戻ってしまいます。,中,データ
4,設定が保存されない,ユーザーが設定を変更しても、再起動後に元に戻ってしまいます。,中,データ
5,入力内容が反映されない,入力したデータが保存されず、消えてしまいます。,中,データ
6,フォントが読みづらい,フォントサイズが小さく、ユーザーが読みづらいと感じています。,中,UI
7,データが消失する,ユーザーが設定を変更しても、再起動後に元に戻ってしまいます。,低,データ
8,パスワードリセットメールが届かない,正しいIDとパスワードを入力してもログインに失敗します。,高,認証
9,入力内容が反映されない,ユーザーが設定を変更しても、再起動後に元に戻ってしまいます。,高,データ
10,二段階認証が失敗する,正しいIDとパスワードを入力してもログインに失敗します。,中,認証
11,パスワードリセットメールが届かない,認証コードを入力しても認証されず、ログインできません。,中,認証
12,二段階認証が失敗する,正しいIDとパスワードを入力してもログインに失敗します。,高,認証
13,ログインできない,認証コードを入力しても認証されず、ログインできません。,高,認証
14,データが消失する,入力したデータが保存されず、消えてしまいます。,低,データ
15,ボタンの位置がずれる,フォントサイズが小さく、ユーザーが読みづらいと感じています。,中,UI
16,終了時にクラッシュ,アプリを閉じる際に例外エラーが発生してクラッシュします。,中,クラッシュ
17,設定が保存されない,入力したデータが保存されず、消えてしまいます。,高,データ
18,入力内容が反映されない,ユーザーが設定を変更しても、再起動後に元に戻ってしまいます。,中,データ
19,起動時間が長い,トップページに遷移する際、3秒以上かかる場合があります。,高,パフォーマンス
20,ログインできない,正しいIDとパスワードを入力してもログインに失敗します。,中,認証
21,起動時間が長い,トップページに遷移する際、3秒以上かかる場合があります。,低,パフォーマンス
22,テーマが正しく反映されない,特定の解像度でボタンの位置がずれて表示されます。,低,UI
23,特定操作でクラッシュ,アプリを閉じる際に例外エラーが発生してクラッシュします。,高,クラッシュ
24,起動時間が長い,アプリの起動に10秒以上かかります。,高,パフォーマンス
25,アプリが起動直後にクラッシュする,アプリを閉じる際に例外エラーが発生してクラッシュします。,高,クラッシュ
26,スクロールがカクつく,トップページに遷移する際、3秒以上かかる場合があります。,高,パフォーマンス
27,終了時にクラッシュ,アプリを閉じる際に例外エラーが発生してクラッシュします。,高,クラッシュ
28,終了時にクラッシュ,メニュー内の設定を押すとアプリが強制終了します。,高,クラッシュ
29,テーマが正しく反映されない,フォントサイズが小さく、ユーザーが読みづらいと感じています。,低,UI
30,終了時にクラッシュ,アプリを閉じる際に例外エラーが発生してクラッシュします。,高,クラッシュ
31,起動時間が長い,アプリの起動に10秒以上かかります。,低,パフォーマンス
32,アプリが起動直後にクラッシュする,アプリを開くとすぐにクラッシュしてホーム画面に戻ります。,高,クラッシュ
33,パスワードリセットメールが届かない,正しいIDとパスワードを入力してもログインに失敗します。,低,認証
34,スクロールがカクつく,アプリの起動に10秒以上かかります。,低,パフォーマンス
35,データが消失する,入力したデータが保存されず、消えてしまいます。,低,データ
36,ログインできない,パスワードリセットのメールがユーザーに届きません。,中,認証
37,アプリが起動直後にクラッシュする,メニュー内の設定を押すとアプリが強制終了します。,低,クラッシュ
38,画面遷移が遅い,トップページに遷移する際、3秒以上かかる場合があります。,中,パフォーマンス
39,終了時にクラッシュ,メニュー内の設定を押すとアプリが強制終了します。,中,クラッシュ
40,データが消失する,ユーザーが設定を変更しても、再起動後に元に戻ってしまいます。,高,データ
41,特定操作でクラッシュ,メニュー内の設定を押すとアプリが強制終了します。,中,クラッシュ
42,終了時にクラッシュ,アプリを閉じる際に例外エラーが発生してクラッシュします。,高,クラッシュ
43,設定が保存されない,変更内容が確認画面に反映されません。,中,データ
44,画面遷移が遅い,リストをスクロールすると動作が重くなります。,低,パフォーマンス
45,ボタンの位置がずれる,特定の解像度でボタンの位置がずれて表示されます。,高,UI
46,テーマが正しく反映されない,ダークテーマにしても一部の画面が反映されません。,低,UI
47,パスワードリセットメールが届かない,認証コードを入力しても認証されず、ログインできません。,中,認証
48,終了時にクラッシュ,アプリを閉じる際に例外エラーが発生してクラッシュします。,中,クラッシュ
49,ログインできない,パスワードリセットのメールがユーザーに届きません。,高,認証
50,起動時間が長い,リストをスクロールすると動作が重くなります。,高,パフォーマンス
